onset	duration	delay_later	delay_sooner	amount_later	amount_sooner	choice	subjID	run	modulation
240.070009392	5.0	32.0	19.0	16.43	9.99	1	1	5	4.579562481488374
251.073508842	5.0	149.0	143.0	19.06	13.51	1	1	5	2.5522655571194166
264.074885895	5.0	68.0	2.0	23.86	7.28	1	1	5	8.891229370571896
275.079734734	5.0	93.0	56.0	33.89	26.43	1	1	5	1.4893414137487717
286.08460913700003	5.0	143.0	34.0	30.71	17.67	1	1	5	0.9836269760948433
301.08792845799996	5.0	90.0	2.0	27.25	14.42	1	1	5	2.381147271139927
314.092050166	5.0	149.0	50.0	13.35	10.33	0	1	5	-1.142101453313198
329.09694092	5.0	153.0	35.0	29.37	25.72	0	1	5	-6.536882148245223
342.102183204	5.0	125.0	109.0	21.41	17.14	1	1	5	1.6759655639778241
355.106343499	5.0	144.0	34.0	14.68	14.08	0	1	5	-4.089546515623934
370.10948748	5.0	131.0	117.0	27.57	19.2	1	1	5	3.7874056474659543
383.11338009199994	5.0	131.0	51.0	23.21	10.99	1	1	5	3.941338643386306
398.117185716	5.0	166.0	61.0	24.17	23.72	0	1	5	-5.461482164369116
17.005679185	5.0	168.0	165.0	27.78	27.57	1	1	6	-0.027736102657806683
28.009478779000002	5.0	32.0	23.0	32.54	29.04	1	1	6	1.5461978853846432
41.014850012	5.0	167.0	49.0	16.14	15.83	0	1	6	-4.3639628029282544
56.020843133	5.0	103.0	97.0	15.41	12.45	1	1	6	1.5250871749769894
67.02338103	5.0	149.0	14.0	36.25	34.06	0	1	6	-13.392075448379185
80.028369705	5.0	145.0	52.0	10.19	3.15	1	1	6	2.7121339931025346
91.03205861299999	5.0	33.0	13.0	39.63	38.31	0	1	6	-2.9788476399428347
104.03843464	5.0	163.0	45.0	28.29	27.3	0	1	6	-7.584628724053301
115.043324792	5.0	133.0	42.0	16.41	15.53	0	1	6	-3.5283984774440764
130.045777219	5.0	103.0	84.0	5.89	3.87	0	1	6	0.9756027423919975
145.049631405	5.0	72.0	58.0	10.64	6.34	1	1	6	2.545479201731026
